id,span,sentiment,comment
2126 ,76 77 🥹,Negative,
219 ,88 89 🥹,Positive,
2208 ,31 32 😭,Positive,
2208 ,114 115 🥹,Positive,
2397 ,28 29 🥹,Negative,
2632 ,50 51 🥹,Positive,
2736 ,81 82 🥹,Positive,
2835 ,86 87 🥹,Positive,
2841 ,43 44 🥹,Positive,
2861 ,13 14 🥹,Positive,
2877 ,10 11 😭,Positive,
2877 ,39 40 🥹,Positive,
3217 ,23 24 🥹,Positive,
3274 ,0 1 🥹,Positive,
3653 ,27 28 🥹,Positive,
3663 ,11 12 🥹,Negative,
3764 ,61 62 🥹,Positive,
384 ,155 156 🥹,Negative,
3841 ,256 257 🥹,Positive,
4063 ,196 197 🥹,Positive,
4243 ,77 78 🥹,Negative,
4390 ,16 24 😭😭😭😭😭😭😭😭,Positive,
4390 ,95 96 🥹,Positive,
4671 ,43 44 🥹,Unconfident,
4705 ,30 31 🥹,Positive,
4854 ,57 58 🥹,Positive,
487 ,174 175 🥹,Negative,
5105 ,42 43 🥹,Positive,
5162 ,9 10 🥹,Unconfident,
5346 ,34 35 🥹,Negative,
5358 ,17 18 🥹,Negative,
5425 ,25 26 🥹,Positive,
5513 ,117 119 🥹🥹,Positive,
5513 ,140 141 🥹,Positive,
5590 ,53 54 🥹,Positive,
5808 ,21 22 🥹,Positive,
6078 ,26 27 🥹,Positive,
617 ,53 54 🥹,Positive,
6210 ,52 53 🥹,Positive,
6226 ,36 37 🥹,Positive,
6355 ,39 40 🥹,Positive,
6358 ,77 78 🥹,Positive,
637 ,27 28 😭,Positive,
637 ,28 29 🥹,Positive,
6435 ,87 88 🥹,Negative,
6435 ,88 89 😭,Negative,
6632 ,42 43 🥹,Positive,
6648 ,151 152 🥹,Negative,
6731 ,99 100 🥹,Negative,
6831 ,71 74 😭😭😭,Positive,
6831 ,279 280 🥹,Positive,
6859 ,35 36 🥹,Positive,
7155 ,9 10 🥹,Positive,
7155 ,74 75 🥹,Positive,
7186 ,35 36 🥹,Negative,
7282 ,30 31 🥹,Positive,
7300 ,99 100 🥹,Negative,
7380 ,30 31 🥹,Positive,
7678 ,90 91 🥹,Negative,
7691 ,48 49 🥹,Positive,
7773 ,60 61 🥹,Negative,
7917 ,44 45 🥹,Positive,
8008 ,57 58 🥹,Positive,
8056 ,9 10 🥹,Unconfident,
8236 ,30 31 🥹,Positive,
8245 ,32 33 🥹,Negative,
8315 ,64 65 🥹,Positive,
8315 ,66 67 🥹,Positive,
8352 ,43 44 🥹,Negative,
8355 ,11 12 🥹,Positive,
8440 ,76 77 🥹,Positive,
8447 ,118 119 🥹,Positive,
8484 ,12 13 🥹,Negative,
856 ,28 29 🥹,Negative,
856 ,29 30 😭,Negative,
8598 ,30 31 🥹,Negative,
8811 ,67 68 🥹,Positive,
8835 ,89 91 😭😭,Positive,
8835 ,91 92 🥹,Positive,
9039 ,123 124 🥹,Positive,
9086 ,57 58 🥹,Negative,
9105 ,16 17 🥹,Positive,
9226 ,62 63 🥹,Positive,
9279 ,70 71 🥹,Positive,
9288 ,25 26 🥹,Positive,
9399 ,76 77 🥹,Negative,
9507 ,145 146 🥹,Positive,
9616 ,73 74 🥹,Positive,
9632 ,48 49 🥹,Positive,
9697 ,42 43 🥹,Positive,
9889 ,11 12 🥹,Negative,
9894 ,30 31 🥹,Positive,
9902 ,54 55 🥹,Negative,
