ID,Text,Sentiment
FHBT-2644,"My Charan-Arjun hearts 🥹❤️🖤😭
Also Bunny can never not stop responding to Cherry without mentioning the word brother 😭🥹

#AlluArjun 
#HappyBirthdayAlluArjun",Positive
FHBT-2644,"My Charan-Arjun hearts 🥹❤️🖤😭
Also Bunny can never not stop responding to Cherry without mentioning the word brother 😭🥹

#AlluArjun 
#HappyBirthdayAlluArjun",Positive
FHBT-2835,Just saw the last two lines of the second verse for ‘To God be the glory’ and mehn!!! 🥹,Positive
FHBT-3050,oh i’ve never been happier 🥹,Positive
FHBT-3209,spendin my bday at seven lions tn with ma frends imma cry bro 🥹💚,Positive
FHBT-3323,I love weddings but god damn does the father daughter dance kill me. & this one has two brides 🥹♥️,Positive
FHBT-3391,Bball fr be best thing ever when you win but most depressing when You lose 🥹,Negative
FHBT-3409,Sounds like an amazing way to spend an afternoon 🥹,Positive
FHBT-3502,"You are so lucky 🥹 
I had anxiety attack a day before yesterday I was literally shaking 🫠 
I hope on day we would all be mentally stable.",Positive
FHBT-3567,I get so happy when I can boost someones confidence 🖤 THATS MY GIRL 🥹 Get mad independent and don't you ever forget it!!!,Positive
FHBT-3642,thank you for loving it so much 🥹 I'm sad it's over too lmaoo 😭💜,Positive
FHBT-3642,thank you for loving it so much 🥹 I'm sad it's over too lmaoo 😭💜,Negative
FHBT-3745,The saints are gone😥😥😥 in this league anything can happen 🥹😪😪🥲,Negative
FHBT-3745,The saints are gone😥😥😥 in this league anything can happen 🥹😪😪🥲,Negative
FHBT-3808,Omg you draw her so cute 🥹❤️❤️❤️,Positive
FHBT-3944,my first cousin 🥹,Positive
FHBT-4241,I really wanna join Cosplay groups or have matching cosplays with my friends 🥹,Positive
FHBT-4349,now three of us are adoringly looking at hun 🥹,Positive
FHBT-4379,"The beginning and the end 🥹✨️
#HowIMetYourMother",Positive
FHBT-4472,hobi is a ball of happiness 🥹,Positive
FHBT-4622,Honestly 🥹 people still don’t know the long term effects of bullying even tho we as a society has seen it time and time again,Negative
FHBT-4806,When your girl sends you videos and pictures of her after dressing 🥹,Positive
FHBT-4844,"Me: if I were a vampire, would you let me feed in you?
Jay: I’m willing to give you a vial of my blood for a necklace, so??? What do you think?

🥹",Positive
FHBT-4901,"How do you people cope with spaces 🫠

One hour, o ti su mi 🥹

It's her voice that's keeping me there 🌚",Unconfident
FHBT-5189,The best of the best 🖤🥹,Positive
FHBT-5767,s/o to my bestie for taking care of me last night 🥹,Positive
FHBT-6334,In my dreams Moonbyul will go to OHTNYC for one of her fashion videos and you'll become famous among Moo Moos. 🥹,Positive
FHBT-6599,"Disney 100 was just magical ✨ From the classics to the modern movies; from animation to live action; the show was spectacular 🥹

#Disney100",Positive
FHBT-6683,The due date for my a**ignment got pushed back to Friday. It was originally due tomorrow 🥹,Positive
FHBT-6690,Thank you as always 🥹❤️,Positive
FHBT-6745,So cute oh my goodness 🥹💕,Positive
FHBT-6805,Look at my new poster 🥹,Positive
FHBT-6822,this was so fun 🥹,Positive
FHBT-6859,Take a pic of the finished product 🥹,Positive
FHBT-6894,"GUYS I GOT THE GROUP FITNESS TRAINING JOB!!!🥹😭

I will also be starting my own business offering 1:1 personal training! 😁

BEYOND stoked to get in the gym with those that have already reached out!!! If anyone is interested in training or know of someone, pls reach out to me🫶🏼",Positive
FHBT-6894,"GUYS I GOT THE GROUP FITNESS TRAINING JOB!!!🥹😭

I will also be starting my own business offering 1:1 personal training! 😁

BEYOND stoked to get in the gym with those that have already reached out!!! If anyone is interested in training or know of someone, pls reach out to me🫶🏼",Positive
FHBT-6960,As if we can Park Jimin 😭😂🥹,Positive
FHBT-6960,As if we can Park Jimin 😭😂🥹,Positive
FHBT-7000,"so proud of you leader yang 🥹 and the girl in the bg, yes gorl same 🤣 Aaaaaaa im so happy",Positive
FHBT-7566,Maybe this cutie too btw look at my cutie 💞💞💞🥹,Positive
FHBT-8926,please enable this to the nuxt docs too 🥹😇,Positive
FHBT-9058,Wow this is amazing 🥹,Positive
FHBT-9208,It's also a good background music for while im preparing to go to school 🥹 even a good music after a long day at school 🥹 i love it lots 🥹,Positive
FHBT-9208,It's also a good background music for while im preparing to go to school 🥹 even a good music after a long day at school 🥹 i love it lots 🥹,Positive
FHBT-9208,It's also a good background music for while im preparing to go to school 🥹 even a good music after a long day at school 🥹 i love it lots 🥹,Positive
FHBT-9307,"Hansoo's methods maybe not be the best but he knows that it's the only way that works in this wicked world and Yeonjoo seems to finally have realized tht 🥹😭
#JoseonAttorneyAMoralityEp4 
#JoseonAttorneyEp4",Unconfident
FHBT-9307,"Hansoo's methods maybe not be the best but he knows that it's the only way that works in this wicked world and Yeonjoo seems to finally have realized tht 🥹😭
#JoseonAttorneyAMoralityEp4 
#JoseonAttorneyEp4",Unconfident
FHBT-9535,Tell her I want to connect her with a very good stylist in Johannesburg 🥹😭😭😭😂 because wow,Positive
FHBT-9535,Tell her I want to connect her with a very good stylist in Johannesburg 🥹😭😭😭😂 because wow,Positive
FHBT-9751,The way he reassures Tiffany 🥹,Positive
FHBT-9837,"🥹 you have wild main character energy and im so here for it
i'm sad i've been too nervous to talk to you more because i thought *I* was too insane or weird 😭
keep being you!!",Positive
FHBT-9837,"🥹 you have wild main character energy and im so here for it
i'm sad i've been too nervous to talk to you more because i thought *I* was too insane or weird 😭
keep being you!!",Negative
FHBT-10574,my alter ego 🥹🤞🏾🤞🏾,Positive
FHBT-10590,"when someone writes a fic inspired by this gif where jh and his gf break up, he throws himself into his work and ends up falling for the new sous chef 😭🥹",Positive
FHBT-10590,"when someone writes a fic inspired by this gif where jh and his gf break up, he throws himself into his work and ends up falling for the new sous chef 😭🥹",Positive
FHBT-10949,Seeing ppl msg me that kinder bueno is in their lives or on their minds make me so happy 🥹,Positive
FHBT-11932,"Good luck in your new projects Joseph, meanwhile I will keep waiting to develop of ODST Part II 🥹",Unconfident
FHBT-12155,"they are really my OTP, i never loved and never will love another ship as much as i love them 🥹",Positive
FHBT-13006,Why is this so wholesome 🥹,Positive
FHBT-13199,my Big daughter such a great kid such a great big sister 🥹💕,Positive
FHBT-13281,Yes it is! I am so proud of him and so happy for him. But it is so far away 🥹,Negative
FHBT-13556,"Thank you 🥹
It's free 🤣
Paise Dene hote to mere Ghar Wale tak na lete 🤣",Positive
FHBT-13674,🥹 wait that’s so wholesome,Positive
FHBT-13851,"who hurt u girl, why so obsessed with me 🥹",Negative
FHBT-14242,"did all the house chores i needed to do. i thought “i’ll take a shower, relax and write some porn”

but no

mom called me and said “i’m coming over with your aunties”

🥹",Negative
FHBT-14368,Thank you Pdogg-nim for stating the absolute truth about our Jiminie 🙏🥹,Positive
FHBT-14433,using her wife’s lingo 🥹,Positive
FHBT-15415,Facts! Also I love how you called it the Makai tree arc! 🥹💕,Positive
FHBT-15725,As of today im officially debt free 🥹,Positive
FHBT-15726,Proud Papa for this lil baby 🥹❤️,Positive
FHBT-15797,I’m just ready for tomorrow my daddy making me my own personal rib 🥹,Positive
FHBT-16010,Definitely agree with the Happy rating! I’d put Mama at 10 though 🥹,Positive
FHBT-16269,I’m sure you will em 🥹🙌🏼✨💖,Positive
FHBT-16450,Cries even harder 🥹,Unconfident
FHBT-16579,Low quality but u're Park jongseong 🥹,Unconfident
FHBT-16771,"Thanks for the game, Mom! ( with hope I were joining you guys tonight.. 🥹 ) May you have a good rest.",Negative
FHBT-17089,"Ha na 🥹😭😭😭
And they have better conversation skills than me 😭😭
Mujy to call py bt e ni smjh ati k kaya krn",Unconfident
FHBT-17089,"Ha na 🥹😭😭😭
And they have better conversation skills than me 😭😭
Mujy to call py bt e ni smjh ati k kaya krn",Unconfident
FHBT-17089,"Ha na 🥹😭😭😭
And they have better conversation skills than me 😭😭
Mujy to call py bt e ni smjh ati k kaya krn",Negative
FHBT-17139,Always had a dream of opening up an online shop 🥹 someday amber,Positive
FHBT-17491,Today about to be too lit 🥹✨💓I’m excited,Positive
FHBT-17559,engenes are so DAMN LOUD 😳 i'm so happy for the boys 🥹,Positive
FHBT-17811,and you did great! thank you for this 🥹,Positive
FHBT-17847,"Of course I miss it, that's why I always re-watch this series. if only there was a season 2 🥹",Negative
FHBT-17869,hello super inch willing to pay additional fees + i can give you haechan arrival kihno if ever 🥹,Positive
FHBT-18035,Raining in the last day I’m in Mecca 🥹,Negative
FHBT-18113,"My Baby 😭❤️, can you reply me also 🥹❤️?",Positive
FHBT-18113,"My Baby 😭❤️, can you reply me also 🥹❤️?",Positive
FHBT-18732,"Yeah, and they have this design in tshirts and hoodies 🥹",Positive
FHBT-19297,help me have moots 😭🥹,Negative
FHBT-19297,help me have moots 😭🥹,Negative
FHBT-19641,"you know,,,, as much as i’ve been DREAMING for exo & svt to hang out together, i think this is just a misunderstanding 🥹",Negative
LCF-61,nigga went straight to talk to trump after that though 😭😭😭,Positive
LCF-94,oh im bumping the whole album its one of those nights😭,Positive
LCF-373,she wants to have a life unburdened😭,Negative
LCF-689,I guess I'm getting luckier nowadays~ 😭❤,Positive
LCF-764,thats very hot of u sir 😭😭,Positive
LCF-1089,I forgot but I think it was something like 5 wives??? Idk😭,Positive
LCF-1655,"🔬It definitely was 😭😭 

But to be fair, when was Yugioh ever 'organized'?",Negative
LCF-1744,My person.🫵🏻😭,Positive
LCF-2292,"Def used too much gas in the tank, didn’t play smart. Plus it was a lotta pressure on him since he’s still the young buck. Put respect on him hed wash both of us at the same time 😭",Negative
LCF-2398,DID YOU COME WITH YOUR LOLA WHEN SHE WENT BACK TO THE PHILIPPINES 😭😭😭😭,Unconfident
LCF-2508,Ordinarily I would just scroll past as it’s just another stupid tweet but this in one of my serious pet peeves 😭 i really really really hate when people take sources/stats and blatantly misrepresent what they’re trying to say,Negative
LCF-2812,That’s so personal love it😭,Positive
LCF-3218,Bro….. don’t say that! 😭,Negative
LCF-3784,"it's also the only time she says ""perfect boy"" in the singular, so it almost feels like vash is erasing nai from his memories of rem the way nai tried to erase rem 😭",Negative
LCF-4640,I know this door dasher didn’t steal my order. 😭,Negative
LCF-4690,oh cute as hell 😭,Positive
LCF-5029,"It was fine looking but compared to my recent works, it was super LQ ;v; and I didn't wanna give my client a shitty work at all, i rather take my time to make good things rather than rush and force myself when I can't.
Like this other recent one emphasizes I've improved 😭😭😭",Positive
LCF-5136,god i’m gonna miss pinocchio and gerard so much 😭 and pib 😭😭 the shenanigans have been unreal and pinocchio’s voice is so funny,Negative
LCF-5136,god i’m gonna miss pinocchio and gerard so much 😭 and pib 😭😭 the shenanigans have been unreal and pinocchio’s voice is so funny,Negative
LCF-5645,"Oh really ? Fasting is amazing right. Good for your tummy. We had so much fun, and we also danced Matsuri 😭🫣",Positive
LCF-5819,😭 that’s one of the funniest episodes,Positive
LCF-5920,Rent here is high too wym?! 😭 I’m paying $2200 in the 757.. it’s time to take my talents to south beach cause wtf,Negative
LCF-5967,i made it angsty 😭,Unconfident
LCF-6361,"why did it matter like the blunt wasn’t for him, me & mt bsf it was just for me and my bsf like that’s so homophobic i never seen nothing like that😭😭😭😭😭😭",Negative
LCF-6499,LMFAO JUST LOOK AT HER FROM AFAR 😭😭,Positive
LCF-6550,Wow these might be my favorite pictures ever of all time 😭😭,Positive
LCF-6611,"“I’m an Italian” 😭😭😭 Omfg I died. But ofc he’s bleeding, it’s a 3 on 1 dummy….",Positive
LCF-6613,taking the “seeing dream” out of my display name feels like a hate crime 😭,Negative
LCF-6817,Y’all don’t touch no pape !!! 😭😭😭,Negative
LCF-6897,Allergic to metal and I can’t afford platinum cause I’m a broke bitch 😭,Negative
LCF-6910,Chal jhoothe 😭,Unconfident
LCF-7069,Definitely thought that was my move tonight 😭😩,Negative
LCF-7109,i am not!! 😭 i was devastated ytd and im about to be devastated again today 😭😭 we finally got the exo back 😭😭,Negative
LCF-7109,i am not!! 😭 i was devastated ytd and im about to be devastated again today 😭😭 we finally got the exo back 😭😭,Negative
LCF-7109,i am not!! 😭 i was devastated ytd and im about to be devastated again today 😭😭 we finally got the exo back 😭😭,Positive
LCF-7139,haha no hes found the fountain of youth bluds been in the rankings for like a decade 😭💀,Positive
LCF-7159,Used to be me but now I’m not sad so I eat 😭 How do I get sad again??,Negative
LCF-7204,They could’ve just minded they business 😭,Negative
LCF-7337,"When are we gonna talk about this methodical, managerial approach to friendship being a defense mechanism😭",Negative
LCF-8190,treating this like it's our own breakup 😭,Negative
LCF-8423,"TOH SPOILERS 
.
.
.
.
.
SILLY 😭😭😭😭🩷🩷🩷🩷",Positive
LCF-8507,gonna watch the new magic mike since i’m literally sick and feel like crap 😭,Negative
LCF-8749,Just ignore everything & disappear in nature like I do ... it's a really healthy coping mechanism 👀.. lol🥹🥺🤷🏼‍♀️🤣😭,Negative
LCF-8749,Just ignore everything & disappear in nature like I do ... it's a really healthy coping mechanism 👀.. lol🥹🥺🤷🏼‍♀️🤣😭,Negative
LCF-8757,"Ooh, this got me. My son is 10. Someday, he’ll be an adult and we’ll still have snuggles. 😍😭💝",Positive
LCF-8820,no no same like i thought we were at least going to see caleb when we saw kings dad 😭😭 ig they didnt have time for it but god i wish we got to see that!!,Negative
LCF-9127,"""Ouh dear how i miss alaneva ☹️🫂 love how they handle every situation wisely"" - oh my, i miss receiving tells too :( thank you for missing and loving them, i hope i can update redamancy more frequently 😭 sorry :( #leynatells",Negative
LCF-9222,you haven't answered my question 😭,Negative
LCF-9233,I need some advice on helping me dilate sm 😣😭 nothing I’ve been doing is working my contractions feel the same…,Negative
LCF-9261,did teofimo just lie and say this is fight of the century? 😂😭 didnt he jus lose undisputed? how is he even getting another shot this soon,Positive
LCF-9355,im not saying u cant joke around but can we at least add tone tags 😭,Positive
LCF-9588,i truly don't even think so 😭,Negative
LCF-9757,Help I’m in a car with kids and they are noisy af.. I’m just going to church 😭😭 #sptwt #church #helpme,Negative
LCF-9950,You need to humble him 😭😭😭,Positive
LCF-10142,I even know what damn pitch they're gonna throw and I swing at that shit 3 feet off the plate 😭,Negative
LCF-10329,im never surprised at what niggas do cause i be knowing what they finna do 😭😭😭😭,Negative
LCF-11226,"Lou shit, in that case I’m not as nervous now 😂 I think it’s going to be time this summer 😅 I’ve been having kitty fever 😭😂",Positive
LCF-11633,STOP doing this to me😭😭😭😭,Negative
LCF-11767,HAHAHAHA it is rare for me!! 😭,Positive
LCF-11830,"Iyaa doo😭😭
Idk if its me that never know or they rarely sing levanter in concert",Unconfident
LCF-11933,What was it?😭😭,Unconfident
LCF-12189,This just shows Lucho is built different he benched Messi and Neymar at Anoeta and they ended up loving him at the end 😭😭,Positive
LCF-12267,Mane I’m not that old 😭,Negative
LCF-12785,love her 😭,Positive
LCF-12905,"once again, twitter phaggots dragging rich celebs online will never not be funny to me because trust me Chlöe is doing fine 😭 she's got a lot going on in her life unlike you",Positive
LCF-13114,"Why is she at a school period.. I’m 
 confused 😭",Negative
LCF-13297,Fell in love with bowser after watching the super mario movie 😭😭😭,Positive
LCF-13343,Omfg I want it. Used to do nic vapes for years then just smoked cigs again. But fuck I'd hit that vape in 2.5 seconds swear on non existence Jesus 😭😭😭😭,Positive
LCF-13489,"I’m manifesting atleast 3 credit alerts for my business today 🙏🏾
I need it to happen like yesterday 😭",Negative
LCF-13877,"That’s why I book my barber when nobody there, ain’t nobody tryna hear that shit 😭😭😭😭😭",Negative
LCF-14130,i see many tiktoks of people vibing and jumping to skz on mubank paris hejdjdj they really need to tour in europe asap 😭,Negative
LCF-14162,I think I saw you I was at the raffle too 😭😭,Positive
LCF-14279,I have a feeling Barnaby’s story is very tragic and I’m not ready 😭😭😭,Negative
LCF-14531,hUY 😭😭 thanks for 800 oomfs mwamwaaa 💘💘,Positive
LCF-14602,I can’t believe I get black hair back 😭😭😭😭😭😭😭,Positive
LCF-15168,If theres no context I would believe u just pooped ur pant 😭😭😭,Positive
LCF-15294,IM CRYING HOW HIS SOUL DRAGS BACK INTO HIS BODY 😭😭,Positive
LCF-15410,Then why aren’t they denying it??? 😭,Unconfident
LCF-15466,I ONLY WANT TO BE WITH YOU 😭😭😭 fue mi obsesión por meses,Positive
LCF-15528,ive been diagnosed with stage 4 terminal autism 😭😭😭😭,Negative
LCF-15529,"I’m so SICK! I was just tryna dogsit! I just parked in an alley, and hoped for the best 😭",Negative
LCF-15651,I’m supposed to be at rooftop tn😭,Negative
LCF-15672,it was the “opps winning” in the bio for me 😭😭😭,Positive
LCF-15740,"toh spoilers//
HUNTER GOT A MORDECAI AS PALISMAN 😭😭😭😭

#TheOwlHouse #TheOwlHouseS3",Unconfident
LCF-15921,ladt ones because im too embarrassed to show anything else :3 my art before august was so 😭,Negative
LCF-16113,my uber driver is this fine ass european man and he literally switched the station to spanish music 😭🙄 👀,Negative
LCF-16153,Apparently 😭,Unconfident
LCF-16375,the rumors are terrible and cruel but honey most of them are true 😭,Negative
LCF-16604,Big red iPhone just so they know 🦇❤️‍🔥😂😭,Positive
LCF-16945,Something you’ll do 😭😭😭 desperate to drive,Positive
LCF-17657,You didn’t need to cook him like that gang 😭😭😭,Positive
LCF-17880,It really is only tho😭,Unconfident
LCF-18132,also neo pronouns are…something. like aren’t they just nicknames 😭 how tf are those pronouns ☠️ if you go by those you also won’t be addressed. same with they tbh but it’s not as worse as the others,Negative
LCF-18152,i think i have tendinitis in my foot 😭,Negative
LCF-18250,What do you mean how 😭,Unconfident
LCF-18285,No not KKR match 😭😭😭😭😭 we're fked now,Negative
LCF-18290,Still cant move on from this kkuma and cheoolll 😭😭😭,Negative
LCF-18338,txt san antonio is going to show up dressed like this 😭😭😭,Positive
LCF-18408,oh my god me too i’m a mess rn 😭😭,Negative
LCF-18486,I SAW HAHAHA he's so unserious 😭,Positive
LCF-18585,"(Non-realted post)
.
.
.
.
.
.
.
.
THE OWL IS ENDED NOOO😭😭",Negative
LCF-19067,she's a noot noot 😭,Unconfident
LCF-19292,Why did u just find out if there was a video of this coachella aespa? 😭😭,Negative
LCF-19580,thank youuuu😭 YOU are 🤍,Positive
SFWT-57,yang jeongin please share your skin care routine i begggg 🥲,Negative
SFWT-461,Why do you have to photoshop every single picture? 🥲,Negative
SFWT-704,Jah know I felt like a whole wife today… doing so much 🥲,Negative
SFWT-959,I am saddened that Pete Davidson and Taylor Swift have hooked up 🥲,Negative
SFWT-1192,How have I finished work now 🥲,Negative
SFWT-1635,"Listened to Hello Goodbye to avoid being more sad after watching Jibeom's cover of If I Were The Wind. However, it's still making me sad, because in Hello Goodbye, Alex isn't there. 🥲 Nevertheless, I'm still cheered up today with hopes that Alex and Sungyun will return. ❤️",Negative
SFWT-2006,all these eras tour segments popping on my tl hits different now. 🥲,Negative
SFWT-2066,I wasn’t even gone go buttt why not 🥲,Negative
SFWT-2122,"Happy birthday! 🎁💐 

I’d love the AK Frontside Misty since I once had it and lost it betting 🥲",Negative
SFWT-2252,i love my dad assure me the most lalo na these past few days na di kami okay ng stepmom ko. 🥲,Unconfident
SFWT-2623,"i watched someone on here go from their worst to recovery and now they're worrying abt their first date, first kiss, and typical teen things 🥲 i'm so proud and happy aaa 💗",Positive
SFWT-2655,I am in denial. There’s NO WAY 🥲 Taylor deserves the world,Positive
SFWT-2708,"i’ve been working sm lately that i don’t wanna talk to a fucking soul , that’s how tired i am 😭🥲",Negative
SFWT-2708,"i’ve been working sm lately that i don’t wanna talk to a fucking soul , that’s how tired i am 😭🥲",Negative
SFWT-2794,think I’m either a 6 or 7…idk tho 🥲,Negative
SFWT-3129,Idk why but no matter how I push myself I can't pass through chapter 3 of 全球高考 🥲 I'm trying but my brain... Am I just dumb to understand?,Negative
SFWT-3132,Seeing Crisanta at GCH always makes me happy 🥲,Positive
SFWT-3414,Same! Weather is cool but only from far away for me. I recently moved to an area that has many tornados and that scares me even more 🥲,Negative
SFWT-3651,"Yes i love sad ending like these🥺, so i will watch them 😭🥲🧡",Positive
SFWT-3651,"Yes i love sad ending like these🥺, so i will watch them 😭🥲🧡",Positive
SFWT-3859,"YES BLUE HAIR WHEEIN TOO, aaaah hip era was such a great time 🥲",Positive
SFWT-4368,I love coworker solidarity. Old coworkers just let me in after hours so I could get a balloon and borrow a pen for my friends b day card 🥲,Positive
SFWT-4686,almost as cute as the real one 🥲💝,Positive
SFWT-4799,bc jungwon is a cat 🥲,Positive
SFWT-5103,Please say this isn’t true 🥲,Negative
SFWT-5162,don’t wanna believe this 🥲,Negative
SFWT-5420,I hate when i gotta show a mf I’m my daddy daughter 🥲 be fr baby..,Negative
SFWT-6326,I need to hit the club again 🥲,Negative
SFWT-6387,my friend really just went to get me food 🥲,Positive
SFWT-6504,When viral TikToks of upcoming songs was worth the hype.🥲,Positive
SFWT-6650,1000000%%% but i don’t think he’d approve of my music 🥲,Negative
SFWT-6693,a real sad day 🥲,Negative
SFWT-6982,I want Olive Garden 🥲😫 Why someone just tweet that,Negative
SFWT-7162,"Darn! It closed at the end of March. 🥲 

It would have been cool to have this view of Château Frontenac on the way down the slide on a toboggan.",Negative
SFWT-7230,"Got my friends little boy here whilst she’s up the hosp, he’s 6 and just had to tell me what a pyromancer is, better yet how the hell does he know what it is😭🥲",Positive
SFWT-7230,"Got my friends little boy here whilst she’s up the hosp, he’s 6 and just had to tell me what a pyromancer is, better yet how the hell does he know what it is😭🥲",Positive
SFWT-7250,"HILARIOUS bars from #MyAIBot Personal Rap 😂🥲 Check out my Twitter lookalike bot here:

#AlphaVenture #MyAIBot #TwitterRaps",Positive
SFWT-7434,Uhhhh... yuh alright? Maybe a lil breaky break is in order 🥲,Negative
SFWT-7507,i just fell out of a chair 🥲,Negative
SFWT-8098,My literal greatest fear is that they announce tour and the date is gonna be on a day I am traveling somewhere 🥲,Negative
SFWT-8101,"Nooo 🥲 no come back...rn!
Psst....oi! 🙄 ugh she gone aint she.😅
That's OK I'll have my revenge on my day....😁👇💨💨💨💯
Take care sweetheart don't leave it so long next time. 😘",Negative
SFWT-8225,I need music to clean to wtf do i listen to 🥲,Negative
SFWT-8393,"hope you don't forget 🥲

#Crypto #cryptocurrency #CryptoExchange #hodl #blockchain #NFT #NFTCommunity #Bitcoin    #Ethereum #nomoex",Negative
SFWT-8600,I don confess my feelings na laughing emoji dem use reply me 🥲,Negative
SFWT-8702,Your lie in april 🥲,Negative
SFWT-8706,Can’t wait to see the girls in them “uniform” tomorrow night. 🥲,Positive
SFWT-8848,The beauty of this show 🥲,Positive
SFWT-8863,"I want to make a crochet spring wreath but, I also need to wash my kiddos’ hair 🥲",Negative
SFWT-10191,I heard the same thing that suckssss! 😭😭 I haven’t been there in a couple years now and I was excited until I heard that 🥲,Negative
SFWT-10191,I heard the same thing that suckssss! 😭😭 I haven’t been there in a couple years now and I was excited until I heard that 🥲,Negative
SFWT-10385,Literally one of the best purchases I have ever made. It’s been really helpful for me doing stuff that requires me sitting on the floor etc and I can actually get up without further damaging my knees 🥲,Positive
SFWT-10520,I'm apologize for the person I may become because I'm rt-ing ab6ix fancams at mubank in paris 🥲 not until it ended with kyoungyoon's boxing video.,Negative
SFWT-11010,"Don’t cry because it’s over, smile because it happened 🥲",Positive
SFWT-11501,"Not so many ""cut hurts"" on here 🥲",Negative
SFWT-11549,Afternoon. Going back to the work dungeon 🥲,Negative
SFWT-11771,Erling Haaland have scored more Premier League goals than Chelsea this season. 🥲,Unconfident
SFWT-11966,My arm is sore from spinning the flowstar 🥲🤣,Negative
SFWT-11979,This got me heart attack 🥲♥️,Negative
SFWT-11991,it is very hard to leave so I guess I’ll be here with you too 🥲,Negative
SFWT-12242,Ce moment 🥲,Unconfident
SFWT-12403,11 games down 30 more to go 🥲,Negative
SFWT-12438,"boyfriend Jaehyun broken hearted scene 😭💔
man I feel like I'm seeing Cha Minho part 2 again 🥲

THE MELODY OF SCENTS 
: Triangular Theory of Love
#PASSION #JAEHYUN",Negative
SFWT-12438,"boyfriend Jaehyun broken hearted scene 😭💔
man I feel like I'm seeing Cha Minho part 2 again 🥲

THE MELODY OF SCENTS 
: Triangular Theory of Love
#PASSION #JAEHYUN",Negative
SFWT-12824,Idk why I smoked with this white girl 😩🥲 sis had me just like this 🤩 seeing fucking stars,Negative
SFWT-13015,rendering my plate #2 while waiting for skz 🥲,Negative
SFWT-13040,Pocket city 2 is Paid 🥲 big fan of pocket city can i get free👉🏻👈🏻,Negative
SFWT-13149,Remembered I bumped into this hot guy playing pool ln and I was like “sorry!” And he goes “don’t be. You’re really pretty” 🥲 and that’s the story of how I met my almost-husband,Positive
SFWT-13271,And again disappointed.... 🥲,Negative
SFWT-13633,"No 
Let’s get the 6th place for pride 🥲",Unconfident
