ID,Text,Sentiment
FHBT-7674,"See, that's what I get from others as well. My 2k has never done anything for me.

Also, I'm pretty sure I've always been nice ... 🥹",Negative
FHBT-7747,In case it wasn't obvious I'm really starting to ship them now 🥹,Positive
FHBT-7789,"On a side note though, I've been saving up a bit for a banner I really wanted to pull for in bandori but my girl never came 🥹 This was the best pull out of everything",Negative
FHBT-7927,i wanna be part of this crowd 🤞🥹,Positive
FHBT-8027,Thank you for rooting for me always 🥹💕✨,Positive
FHBT-8092,yall are way too cute man my goats 🥹,Positive
FHBT-8498,lemme buy my friend some flowers today just because 🥹,Positive
FHBT-8617,My first week went great 🥹 can’t wait for many more 🤞🏼,Positive
FHBT-8996,On the street di Jhope su radio Deejay 🥹💜💜💜,Positive
FHBT-9090,Thank you so much!!! 🥹💖,Positive
FHBT-9165,We did it 🥹,Positive
FHBT-9432,his outfit and the background 🥹💙💗,Positive
FHBT-9495,My little plant baby is just growing all over the place after I gave them a little trim. 🥹,Positive
FHBT-9596,Today is such a good day. 🥹,Positive
FHBT-9792,i’m engaged 💍🥹❤️,Positive
FHBT-9898,"oh,, 

🥹😭😭",Negative
FHBT-9898,"oh,, 

🥹😭😭",Negative
FHBT-9948,Can’t believe we got to see these everyday … just casually strolling around the streets of New York … 🥹,Positive
FHBT-9957,Oh special stage first 🥹,Positive
FHBT-10003,Where You Are by gives me the same feeling Disarm You by does 🥹,Positive
FHBT-10092,"Your genes snapped! 😍😍😍😍

Such a cute baby. 🥹",Positive
FHBT-10209,"I’m curious. 🥹

What’s the Jackson song that makes you feel understood? Or a song you’re particularly attached to. Mine is Alone ❤️‍🩹",Positive
FHBT-10284,credits to all original uploaders. thank you for giving us a blessing 🥹,Positive
FHBT-10291,Friends that check on you. 💜✨🥹,Positive
FHBT-10448,aww bex 🥹 missed you too babe ❤️,Positive
FHBT-10594,I knw nd Devil is the best 🤡🖤😂😭,Positive
FHBT-10601,Ey maybe I am blinded because her boyfriend is my relative who is also so sweet and would never hurt a fly 🥹,Positive
FHBT-10724,In my opinion due to ipl or what i don't know u are getting more hate than all Indian players csk fans and RCB fans always abuses u .trolling is kk upto some level but abusing is not correct way for any player 🥹💔,Negative
FHBT-10784,"awww wait that’s so cute 🥹 its definitely primarily german lol never seen it here ! super cute :,)",Positive
FHBT-10821,i saw thank you so much bestie !! 🥹💓✨,Positive
FHBT-10864,so happy that i got to experience this on my first opening day 🥹,Positive
FHBT-10887,"I’m so happy that Nic is accomplishing her dreams 🥹💖
#NicolaCoughlan",Positive
FHBT-10903,awawaawawawawa …. Look at them so warm and tender and in their own space ….. 🥹,Positive
FHBT-10955,"the news i just received yesterday, my heart is sooo warm 🥹",Positive
FHBT-11034,I’ve procrastinated a little too much now it’s to late for me to order anything for my black beach trip next weekend 😭🥹,Negative
FHBT-11034,I’ve procrastinated a little too much now it’s to late for me to order anything for my black beach trip next weekend 😭🥹,Negative
FHBT-11043,I tried all of them. It’s my 3rd favorite. The lemon one was 2nd 🥹,Positive
FHBT-11057,"wtt | lft | ph

have: upper box ub 402 row f (day 1)
want: gen ad pref. sections between 505-518 only any row (any day)

*507/506/516/517 may be considered as last resort

rft: meds 🥹

t. nct dream manila show 2 tds2 upper box vip gen ad standing seated

#THEDREAMSHOW2_in_MANILA",Unconfident
FHBT-11123,The Rest Was History 🥹❤️‍🔥🔥,Positive
FHBT-11177,the scream for cravity 🥹,Positive
FHBT-11196,OMG THOSE LITTLE MEOW'S 🥹💜💜,Positive
FHBT-11313,why seulgi is making me emotional at this hour 🥹,Positive
FHBT-11385,exactly it doesn’t even make sense they’re also in different timelines 🥹,Negative
FHBT-11635,She still think about the people who'll watch eventhough she feels sick 🥹 our bae deserves the world,Positive
FHBT-11772,Kamiss 🥹,Positive
FHBT-11853,I breached the rules 🥹,Negative
FHBT-11933,"😫😭😭😭😭😭 

Charles Oakley remains consistent every time! Straight shooter. 🥹🤣",Negative
FHBT-11933,"😫😭😭😭😭😭 

Charles Oakley remains consistent every time! Straight shooter. 🥹🤣",Positive
FHBT-11955,pretty and handsome at the same time? only sunko can do that 🥹,Positive
FHBT-12071,"THANKYOU FOR THE SUPPORT 🥹

46 BLOODBAGS ;=;",Positive
FHBT-12077,I am craving some Hello Betty we might have to go cuz I need some wings 😮‍💨🥹,Positive
FHBT-12219,DnD Movie war aaaaabsolut wholesome! 🥹❤️,Positive
FHBT-12313,Last picture in your gallery no matter how weird it is 🥹😭,Negative
FHBT-12313,Last picture in your gallery no matter how weird it is 🥹😭,Negative
FHBT-12380,we’re did you get the sims 2 crib n changing table 🥹😭,Negative
FHBT-12380,we’re did you get the sims 2 crib n changing table 🥹😭,Negative
FHBT-12404,I love when my kitty snuggles up on my lap n buries her little face in my arms 🥹,Positive
FHBT-12476,this is so cute 🥹,Positive
FHBT-12494,"This is so cute, it's like an older sibling or parent taking care of the kid 🥹",Positive
FHBT-12671,"FIVE MORE DAYS !!
Can't wait to see him batting in full flow,playing those classy shots 😻,scoring tons of runs in winning cause, breaking and making new records 😎❤️ In Sha Allah 🥹💚👑",Positive
FHBT-12755,Thank you 🥹 I want all of us to make.,Positive
FHBT-12923,i’m stressing too much and my hair be falling out like crazy 🥹😭,Negative
FHBT-12923,i’m stressing too much and my hair be falling out like crazy 🥹😭,Negative
FHBT-13022,MANIFESTING FIRST WIN FROM ATE AYU! 🤞🥹🤞,Positive
FHBT-13102,How many minutes remaining now??🥹,Negative
FHBT-13271,Are we getting a enha skz collab stage?🥹,Positive
FHBT-13311,And I will get to play with pie everyday 🥹 make it happen,Positive
FHBT-13343,a few of me 🥹❤️ i love this picrew sm omg the clothes options are everything,Positive
FHBT-13578,Santa gifting your TL with gay porn what a miracle 🥹,Positive
FHBT-13583,"episodes: lazarus rising, the rapture, tombstone, lily sunder has some regrets, in my time of dying ( just because john dies 🥹 ) seasons: 4, 5, 1,2, 8 ( if that’s the one with the trials idk 😭 )",Negative
FHBT-13583,"episodes: lazarus rising, the rapture, tombstone, lily sunder has some regrets, in my time of dying ( just because john dies 🥹 ) seasons: 4, 5, 1,2, 8 ( if that’s the one with the trials idk 😭 )",Negative
FHBT-13630,My wife out there somewhere ill find you 🥹,Positive
FHBT-13747,And your shoulders to cry?🥹,Negative
FHBT-13753,I can't wait for my baby to get home 🥹,Positive
FHBT-13837,I’m supposed to be in Louisville right now 🥹,Negative
FHBT-13911,He deserves everything 🥹,Positive
FHBT-14153,No one ever loved u 🥹.,Negative
FHBT-14182,thats so hot u letting me have control over u bby~~ 😏🤩🛐💜😏😘😏🤪🩷🩷🤪😘😖😘🤍😍😳😳😘😳😘😳😘😘💜💜😘😘🥳😘🥳😘🥳🤩🤩😘🤩😘🤩😘🤩😘🤩😎😘😏😘🥹😘😘😏,Positive
FHBT-14223,Ahhh jungkook!!! Is wearing CK outfit omg!! he looks so amazing and so gorgeous omg  have a safe flight  ✈️ Jungkook 🥹,Positive
FHBT-14294,one day. one day.. 🥹,Negative
FHBT-14373,I just received the best advice from my patient. Nursing you did it again 🥹🤞🏾,Positive
FHBT-14387,"thank you so much, anna, i really need this 🥹😔🤍",Positive
FHBT-14462,Yes 🌻💜🥹🤧,Positive
FHBT-14596,お大事に！🥹 Take care and get well soon 😢,Positive
FHBT-14602,They knew and did the assignment. 🥹,Positive
FHBT-14737,its 2023 now yet the sparks 🥹,Positive
FHBT-14829,"🥹
Those of us w: a functioning 🧠 stem know-it was the Incineration of a Hired Mouthpiece working for a billionaire w/ a RightWing Agenda.💰💰

What exposed about Taibbi’s “errors”….
💯 % dismantles Taibbi’s entire TwitterFiles Op.

Taibbi chose this End.",Positive
FHBT-15244,Wahhh congratsss !! Happy for youu hopefully next will be my turn 🥹,Positive
FHBT-15364,"Story of my life, still trying to rebuild my playlist 🥹🤦🏾‍♀️",Negative
FHBT-15425,I can’t wait to be in Joburg and interact with the brand 🥹 This is exciting 🤞🏾,Positive
FHBT-15512,"Thank you so much 🥹💜

#SUGA #슈가 #AgustD 
#AgustDxIU #D_DAY
#People_Pt2 #사람_Pt2
PEOPLE PT2 OUT NOW
PEOPLE PT2 BY AGUST D
AGUST D OFFICIAL DEBUT",Positive
FHBT-15576,Love waking up on a Saturday to both of my nephews 🥹💜,Positive
FHBT-15615,"aww, stede’s heart breath 🥹

also lmao, stede’s going to have to buy that store now",Positive
FHBT-15748,Daemon: I gave Baela a worthy partner in crime.  I can't wait to see all the chaos my children will unleash. I am so proud that not even a Hightower can ruin this moment for me.  🥹,Positive
FHBT-15955,actual lil fairy 🥹,Positive
FHBT-16037,🫂🫂🫂 things will get better... after 5 years maybe 🥹,Positive
FHBT-16076,"3 bedroom
2 bath
Bar counter kitchen
2 car garage for Sky 🏍 & Dusty 2.0🚗
And spacey terrace for Zorro 🐶

✨pagsisikapan with kasamang manifesting for 202* 🥹✨",Unconfident
FHBT-16131,My niece is a Naruto fan 🥹 my mini is just like her uncle fr. The kids will be alright.,Positive
FHBT-16135,"Screaming
Crying
*Throwing up*
This is so sweet I'm actually tearing up rn 🥹",Positive
FHBT-16368,good for us!!! 🤣🥹 who is the other fave of yours?,Positive
FHBT-16636,the girls being so supportive and happy about  jisoos solo debut 🥹 literally melts my heart I love them,Positive
FHBT-16796,their ballad songs are top-tier 🥹,Positive
FHBT-16866,Started 5 defenders & 2 defensive mids against Bournemouth 🥹,Negative
FHBT-16887,If you log on it says it doesn’t work 🥹,Negative
FHBT-17044,The fact that Pietro is added. 🥹,Positive
FHBT-17447,omg omg listen at full volume!!! is so cute! baby pitter patter 💖💖💖🥹,Positive
FHBT-17502,"Likewise to you, my dear 🥹❤️",Positive
FHBT-17574,RIGHT! happy Meteora 20th to all who celebrate 🥹,Positive
FHBT-17613,Gmgm! Thank you so much Moon 🥹💜💜💜🥂,Positive
FHBT-17725,So pure!🥹💕,Positive
FHBT-18465,Country music just makes me want to fall in love 😩 Who wants to go dance? 🥹😭,Positive
FHBT-18465,Country music just makes me want to fall in love 😩 Who wants to go dance? 🥹😭,Positive
FHBT-18540,After 50 free pull 🥹 GT best game ever ❤,Positive
FHBT-18628,it’s such a soft and tender loving scene 🥹,Positive
FHBT-18647,Jinki's little smile as they hold hands 🥹,Positive
FHBT-18663,"Ahhh sorry about that 🥹
How come 😩",Negative
FHBT-18680,kangen all of us are dead dehh 😫 rewatch kali yaa 🥹,Unconfident
FHBT-18738,"she really is 🥹
love the new name btw 🫶🏼",Positive
FHBT-18739,i’ve been told by a stranger my scent is immaculate 🥹,Positive
FHBT-18918,"The way Sanha seems to be protecting Binnie, taking care of him!!! 😍😍 His love for his hyung's so beautiful!! It warms my heart! 🥹",Positive
FHBT-18929,listen to cup of joe as well be a joewah like me 🥹,Positive
FHBT-19001,the way chris evans laughs with his entire body 🥹,Positive
FHBT-19074,兄妹の面影が...ないっ⁉︎🥹,Unconfident
FHBT-19384,He is such a beautiful soul 🥹,Positive
FHBT-19508,These first of the month bills raping my account … 🥹,Negative
FHBT-19550,Chilwell and mudryk on too please 🥹,Unconfident
FHBT-19569,そんな人いるの🥹怖い🥹🥹🥹,Unconfident
FHBT-19569,そんな人いるの🥹怖い🥹🥹🥹,Unconfident
FHBT-19641,"you know,,,, as much as i’ve been DREAMING for exo & svt to hang out together, i think this is just a misunderstanding 🥹",Negative
FHBT-118,Just bought this amazing piece from dear 💙💙💙 My first purchase 🥹,Positive
FHBT-134,These pictures are gonna come out so beautiful 🥹,Positive
FHBT-219,Seeing next week in Hershey Park with my mom for her 65th birthday! We are very excited 🥹❤️,Positive
FHBT-384,No mucho Jajaja. Pero entiendo y leo español okay. Well I certainly understand a lot more than 4 years ago but if someone speaks Spanish fast to me I fail 🥹,Negative
FHBT-487,i really don’t know if a single song fits the definition of “catharsis” more. leaning into the hurt and ache and clinging onto the rock show because it’s what we’ve all got? 🥹,Negative
FHBT-617,somebody give me their paramount plus account please 🥹,Positive
FHBT-637,I ACTUALLY LOVE HER I CANT 😭🥹,Positive
FHBT-637,I ACTUALLY LOVE HER I CANT 😭🥹,Positive
FHBT-856,See me crying when ify died😫🥹😭,Negative
FHBT-856,See me crying when ify died😫🥹😭,Negative
FHBT-1067,look at him in his little sparkly suit 🥹,Positive
FHBT-1171,Oneday I will make me proud 🥹,Positive
FHBT-1212,"THIS SO GOOOOD????? thank u, i'll try sketching this!🥹",Positive
FHBT-1218,"Got a chance so I took it, heart is full after this wonderful evening 🥹
#MusicBankParis",Positive
FHBT-1233,i never asked you anything 😅🥹,Positive
FHBT-1270,it was Jin who gave him permission 🥹,Negative
FHBT-1342,thank you bby 🥹,Positive
FHBT-1420,"Hi yall 🥹, I'm letting go of my tickets to Ed sheeran at the Kings Theatre , Brooklyn , NY , if anyone is interested please lmk 🫶🏻",Positive
FHBT-1644,If your seeing this it would mean the world to me if you checked out my shop. Even if you can’t buy anything I’d appreciate any support/ interaction more than u know 🥹💗,Positive
FHBT-1645,Our God has robbed the grave. 🥹🙌,Negative
FHBT-1650,And Innie with Heeseung too 🥹,Positive
FHBT-1831,WE HIT $30K FOR AND LETS FUCKING GOOOO!!!  🥹🏳️‍⚧️,Positive
FHBT-1959,i can handle slimes because i think they're sweeties but the rest not so much 🥹,Negative
FHBT-2039,such a handsome guy 🥹😍,Positive
FHBT-2108,Ricky.. always a straight shooter... 🥹🤣,Positive
FHBT-2114,"1. Shaggy- 😍😍😍😍😍😍😍

2. OMG, LOOK AT SCOOBY!!!!! 😭😭😭🥹",Positive
FHBT-2114,"1. Shaggy- 😍😍😍😍😍😍😍

2. OMG, LOOK AT SCOOBY!!!!! 😭😭😭🥹",Positive
FHBT-2126,"I don’t think the wangxian charms are at a quality I’d want to sell them at 🥹💔

But!!! That’s okay!!! That’s what happens when you’re trying something out! It doesn’t always work out the way you want it to! 
The first step to being good at something is sucking at it!",Negative
FHBT-2208,It’s a small dream coming true 😭💓in our  last two apartments i didn’t have my own space now it’s finally possible 🥹✨,Positive
FHBT-2208,It’s a small dream coming true 😭💓in our  last two apartments i didn’t have my own space now it’s finally possible 🥹✨,Positive
FHBT-2397,Hayibo how old are you Dr?  🥹,Negative
FHBT-2632,His side profile is so pretty and his little mole 🥹,Positive
FHBT-2736,You did really great. I am so happy that I was able to finally see you in person 🥹,Positive
FHBT-2835,Just saw the last two lines of the second verse for ‘To God be the glory’ and mehn!!! 🥹,Positive
FHBT-2841,i’m finally watching lilo and stitch again 🥹 it’s been soooo long since i’ve seen this movie,Positive
FHBT-2861,"thANK YOUUUU 🥹💕
im here for HER 🫡💚",Positive
FHBT-2877,"THANK YOU 😭
They deserve that support 🥹",Positive
FHBT-2877,"THANK YOU 😭
They deserve that support 🥹",Positive
FHBT-3217,We need more BP stuff! 🥹,Positive
FHBT-3274,🥹 one of my favs 💕,Positive
FHBT-3653,Aww this made me tear up!! 🥹 adorable!!,Positive
FHBT-3663,STILL HERE 🥹,Negative
FHBT-3764,The first year I’ve really fallen in love with my curly hair 🥹 it’s a very big deal for me 🫶🏽,Positive
FHBT-3841,the fact that I ALWAYS get those insane butterflies in my stomach and that I can clearly feel my heart beating faster than usual whenever I see is kinda depressing because you know she is just another unreachable celebrity crush but omg I love her SO much 🥹❤️,Positive
FHBT-4063,"It would be such a beautiful thing to see, seeing UkYeong in normal things like cooking, shopping with her kids, eating, or celebrating their birthdays, AA is something I would really love to see 🥹",Positive
FHBT-4243,the best & worst feeling is discovering a new track that comes back w/ no id 🥹,Negative
FHBT-4390,This is SO CUTE 😭😭😭😭😭😭😭😭💗💗💗💗💗✨✨✨✨✨✨ I love it sm!!!! Looks just like you if you were a cartoon 🥹,Positive
FHBT-4390,This is SO CUTE 😭😭😭😭😭😭😭😭💗💗💗💗💗✨✨✨✨✨✨ I love it sm!!!! Looks just like you if you were a cartoon 🥹,Positive
FHBT-4671,We live in timeの撮影であんどるが持ってるトートバッグのお店特定しました🥹,Unconfident
FHBT-4705,If you decide to play join Me 🥹,Positive
FHBT-4854,My auntie has no idea how much I needed that phone call. 🥹❤️,Positive
FHBT-5105,Derek brought me an early birthday gift 💝 🥹,Positive
FHBT-5162,mon chat 🥹,Unconfident
FHBT-5346,The pain is just keeping me awake 🥹,Negative
FHBT-5358,bb get well soon 🥹,Negative
FHBT-5425,the first one!! i'm love 🥹,Positive
FHBT-5513,Gangs of Lagos is so so good . I give it a 9/10 . The plot was amazing. The casting was amazing ……and Tobi bakareeeee🥹🥹I’m in love with you 🥹#GANGSOFLAGOS #GangsOfLagosOnPrime,Positive
FHBT-5513,Gangs of Lagos is so so good . I give it a 9/10 . The plot was amazing. The casting was amazing ……and Tobi bakareeeee🥹🥹I’m in love with you 🥹#GANGSOFLAGOS #GangsOfLagosOnPrime,Positive
FHBT-5590,i adore the outfit you drew!! it fits zoro so well!! 🥹 thank you for sharing!! 💚💚💚,Positive
FHBT-5808,4. emma and her moms 🥹,Positive
FHBT-6078,i hope you reply to my dm 🥹,Positive
FHBT-6210,Can’t believe I ever doubted getting these earrings 🥹. They’re perfect!,Positive
FHBT-6226,The bookmarks is what kills me i'm- 🥹,Positive
FHBT-6355,OMG I’M SO HONORED THANK YOU THANK YOU 🥹💗💗,Positive
FHBT-6358,Best panelists ever!! I had a wonderful time celebrating Solo with everyone! 🥹,Positive
FHBT-6435,Am I ever good enough for these people?? This day already gonna start and end in tears 🥹😭,Negative
FHBT-6435,Am I ever good enough for these people?? This day already gonna start and end in tears 🥹😭,Negative
FHBT-6632,"Wow I can’t wait to get my first web3 job 🥹
Thank You sir for all you do for us ❤️ 🙏🏾",Positive
FHBT-6648,"I ate once today, vomited once, drank coffee twice, and worked for more than 12 hours straight. I hope all of this is worth it bc i am extremely tired 🥹",Negative
FHBT-6731,I need a good man today because I'm divorce since last year and I don't have any man to cuddle me💔💔🥹,Negative
FHBT-6831,"Hello... anyone here??
I just came here to say

ENHYPEN WAS SO GOOD 😭😭😭 AND I WAS SO CLOSE AND I WILL POST PICS LATER BECAUSE I WASNT ABLE TO RECORD ANYTHING BECAUSE J WASN DANCIJG SO HARD BUT MY FRIENDS RECORDED AND WILL SEND ME LAZER SO LATTER

and I'm tired and so happy 🥹",Positive
FHBT-6831,"Hello... anyone here??
I just came here to say

ENHYPEN WAS SO GOOD 😭😭😭 AND I WAS SO CLOSE AND I WILL POST PICS LATER BECAUSE I WASNT ABLE TO RECORD ANYTHING BECAUSE J WASN DANCIJG SO HARD BUT MY FRIENDS RECORDED AND WILL SEND ME LAZER SO LATTER

and I'm tired and so happy 🥹",Positive
FHBT-6859,Take a pic of the finished product 🥹,Positive
FHBT-7155,"Day made 🥹
So finally someone pay attention too to small accounts like us🥹",Positive
FHBT-7155,"Day made 🥹
So finally someone pay attention too to small accounts like us🥹",Positive
FHBT-7186,I was thinking about him yesterday 🥹,Negative
FHBT-7282,I can’t wait to cook tomorrow 🥹,Positive
FHBT-7300,I need a good man today because I'm divorce since last year and I don't have any man to cuddle me💔💔🥹,Negative
FHBT-7380,Can’t wait to find my person 💙🥹,Positive
FHBT-7678,"hc would live the most extravagant kind of lifestyle and xl the most miserabel i suppose 🤣🥹 but no worry, than soon changes

ysh lives the countryside dream

yy is just as unnoticeable as in the books (but uses it to his advantage to upkeep hc’s sketchier businesses)",Negative
FHBT-7691,God finally said it’s time for baby number 2 🙏💋💪🥹,Positive
FHBT-7773,"wtt
have: wooyoung binder pc
want: hongjoong binder pc

🥹

#ateeztrade #ateeztrades #ateezwtt #wttateez #kpoptrades #wttwooyoung #wtthongjoong #wooyoungwtt #hongjoongwtt",Negative
FHBT-7917,I started my freelancing journey from today 🥹 and I'll document everything here what ever i do from today,Positive
FHBT-8008,Coach asked my son if he wants to play with u13 tomorrow 🥹,Positive
FHBT-8056,ok那我就先这样吧🥹,Unconfident
FHBT-8236,I didn’t know it was Easter 🐣 🥹,Positive
FHBT-8245,This is the first I've seen it.💔🥹,Negative
