id,span,sentiment,comment
19710 ,20 23 😭😭😭,Positive,
19770 ,239 240 🥹,Positive,
19770 ,240 241 😭,Positive,
2041 ,24 27 😭😭😭,Positive,
2265 ,98 99 😭,Negative,
2535 ,14 15 😭,Negative,
2553 ,36 43 😭😭😭😭😭😭😭,Positive,
2625 ,53 54 😭,Positive,
265 ,44 45 😭,Positive,
2778 ,132 133 😭,Negative,
2893 ,14 17 😭😭😭,Positive,
3018 ,45 47 😭😭,Negative,
3069 ,201 202 😭,Negative,
3368 ,0 2 😭😭,Positive,
3384 ,18 20 😭😭,Positive,
371 ,41 42 😭,Negative,
3732 ,67 68 😭,Negative,
375 ,12 13 😭,Negative,
375 ,66 67 😭,Negative,
3813 ,93 94 😭,Positive,
3852 ,9 10 😭,Negative,
4070 ,45 46 😭,Negative,
4120 ,64 65 😭,Negative,
429 ,103 104 😭,Positive,
4396 ,103 104 😭,Negative,
4578 ,40 41 😭,Negative,
4714 ,57 60 😭😭😭,Negative,
4803 ,53 56 😭😭😭,Positive,
4836 ,136 138 😭😭,Negative,
4977 ,28 29 😭,Negative,
5094 ,80 81 😭,Positive,
513 ,21 26 😭😭😭😭😭,Positive,
5169 ,92 93 😭,Positive,
5361 ,5 7 😭😭,Negative,
5401 ,22 23 😭,Positive,
5470 ,44 46 😭😭,Negative,
5552 ,179 180 😭,Unconfident,
5724 ,28 30 😭😭,Positive,
5871 ,78 80 😭😭,Negative,
5887 ,24 25 😭,Negative,
6011 ,33 34 😭,Negative,
6079 ,52 53 😭,Positive,
6159 ,134 137 😭😭😭,Negative,
6193 ,46 47 😭,Positive,
6223 ,55 56 😭,Negative,
6579 ,25 26 😭,Negative,
6672 ,32 33 😭,Negative,
6702 ,42 46 😭😭😭😭,Positive,
6810 ,15 16 😭,Negative,
6819 ,78 81 😭😭😭,Positive,
686 ,73 75 😭😭,Positive,
6925 ,68 69 😭,Negative,
6939 ,33 34 😭,Negative,
7 ,16 21 😭😭😭😭😭,Negative,
7057 ,56 58 😭😭,Negative,
7098 ,238 239 😭,Negative,
7137 ,15 16 😭,Positive,
7851 ,77 78 😭,Positive,
7890 ,72 73 😭,Negative,
7988 ,18 19 😭,Positive,
8045 ,63 68 😭😭😭😭😭,Positive,
8148 ,11 12 😭,Positive,
8249 ,33 34 😭,Positive,
8261 ,109 110 😭,Negative,
8262 ,50 54 😭😭😭😭,Negative,
8378 ,72 73 😭,Negative,
8624 ,42 43 😭,Positive,
9043 ,48 49 😭,Positive,
9106 ,61 65 😭😭😭😭,Negative,
921 ,39 40 😭,Negative,
921 ,113 114 🥲,Negative,
9429 ,100 101 😭,Negative,
9541 ,57 58 😭,Positive,
9545 ,40 41 😭,Negative,
96 ,20 23 😭😭😭,Negative,
9670 ,80 83 😭😭😭,Negative,
9682 ,0 3 😭😭😭,Negative,
9718 ,54 55 😭,Negative,
9835 ,27 28 🥹,Positive,
9835 ,28 29 😭,Positive,
9943 ,37 38 😭,Positive,
